name,restaurants_url,telephone,street,street_number,city,postal_code,rating,number_ratings
Hoshi Sushi,hoshi-sushi.pl,537093993,Strzegomska,3b-3c/6u,Wrocław,53-611,5,1002
Kotlet Schabowy,,717070808,Komuny Paryskiej,10,Wrocław,50-451,4.4,596
Sultan Oriental,,789 477 123,Waniliowa,32,Wrocław,51-180,5,182
Sushi Spot,sushi-spot.pl,534300017,Legnicka,57g,Wrocław,54-203,4.6,770
Chwila Moment Coffee & Food,,577 123 500,Sołtysowicka,15B,Wrocław,51-168,4.7,11
Pizza Bunga,,538484000,Gazowa,88,Wrocław,50-513,4.4,320
Ha-noi,ha-noi-wroclaw.pl,576035166,Piastowska,19,Wrocław,50-361,4.9,3847
SUSHIPAK WRO,,787061333,Żeromskiego,60,Wrocław,50-312,4.7,439
Koi Sushi Box,,515 555 660,Wilanowska,67a/1b,Wrocław,51-206,4.7,20
Pizza & Burger Factory,pizza-burger-factory.pl,570748748,Kiełczowska,51C,Wrocław,51-315,4.5,1827
Express Pizza - Ta prostokątna,,795626262,Krzywoustego,312A/12,Wrocław,51-312,4.8,333
Ararat Kuchnia Kaukaska,,504 339 999,Obornicka,70,Wrocław,51-112,4.9,468
Pizzeria Taormina Januszowicka,pizzeria-taormina.pl,713335584,Januszowicka,11 a,Wrocław,53-135,4.2,939
Banh Mi & Pho,banhmiphowroclaw.pl,732 997 777,Piłsudskiego,86a,Wrocław,50-020,4.8,764
Pizza Bunga,,608342942,Inżynierska,27a,Wrocław,53-227,4.6,1584
FOODHUB SUSHI KRZYKI,,790307309,Komandorska,153,Wrocław,53-342,3.4,6
Mam's Kebab Night,,793070933,Bezpieczna,45a,Wrocław,51-114,3.5,14
Punta Rossa Pizza,,509777788,Bolesława Krzywoustego,318,Wrocław,51-312,4.3,18
Party Pizza,,717948188,Pobożnego,23,Wrocław,50-241,4.5,45
Sushi Lab,,882 695 371,Grudziądzka,100,Wrocław,51-165,4.5,11
LOVERS,,71 738 17 25,Słonimskiego,17,Wrocław,50-304,4.3,29
Antalya Kebab,,796 050 984,Sołtysowicka,25b,Wrocław,51-168,4.3,14
Bene Penne,,733836836,Toruńska,2a,Wrocław,51-164,4.4,14
Mania Smaku Krzywoustego,,71 307 12 23,Bolesława Krzywoustego,87b,Wrocław,51-166,4.5,30
It's Tasty,,575739437,Strachocinska,172,Wrocław,51-518,4.2,10
Express Pizza Night - Ta prostokątna,,570424242,Sokolnicza,7/17 pawilon 5,Wrocław,53-676,3.8,314
Parma Night,parma-night.pl,790668888,Ścinawska,1,Wrocław,53-629,4.5,77
Thali Express Wrocławska,,515550898,Wrocławska,2,Kiełczów,55-093,4.9,640
CuFu Sushi & Europe Food,,531 411 095,Chociebuska,9/2,Wrocław,54-433,4.3,41
Imran Kebab,,729684134,Wacława Berenta,68,Wrocław,51-152,3.5,58
Mori Sushi,,531694165,Morawska,19k,Wrocław,52-007,4.4,23
Ha Noi Stacyjna,,786639939,Stacyjna,2,Wrocław,53-613,4.8,4265
Dobra Pizza No 1,dobrapizzano1-wroclaw.pl,713518666,Bulwar Ikara,13-15,Wrocław,54-130,4.4,200
Woo Thai Street Food Grunwaldzka,,71 321 07 07,Grunwaldzka,67,Wrocław,50-357,4,118
Pizza PaPu,pizza-papu.pl,717827169,Robotnicza,72,Wrocław,53-608,4.8,2222
Duży Pokój,,883687202,Szybowcowa,19,Wrocław,54-130,4.6,935
Woo Thai Street Food Hubska,,71 321 07 07,Hubska,74B,Wrocław,50-501,4.3,5073
Pizzeria Muzyczna,,669631187,Jedności Narodowej,122a,Wrocław,50-301,4.8,17041
Pizza Station,,713525644,Obornicka,64,Wrocław,51-114,4.6,9140
Da Grasso,,504916614,Czajkowskiego,63/1a,Wrocław,51-171,4,1456
Pizzeria Roma,pizzeriaroma-wroclaw.pl,713442408,Kołłątaja,29/30,Wrocław,50-004,4.6,2523
Ozima,,713388585,Piesza,8,Wrocław,51-109,4.3,1896
Bez Lukru Kuchnia Vegańska,bezlukrukuchniaveganska.pl,531026261,Igielna,14,Wrocław,50-117,4.2,453
Pizzamobile,,793 404 540,Bajana,1,Wrocław,54-129,4.6,141
Pizzeria Muzyczna,pizzeriamuzycznawroclaw.pl,500516416,Bulwar Dedala,7a,Wrocław,54-130,4.4,1210
Restauracja Czerwona Cebula,restauracja-czerwona-cebula-wroclaw.pl,717944592,Kromera,2,Wrocław,51-163,4.2,109
Telepizza,,713214145,Drobnera,32,Wrocław,50-257,3.3,281
Express Pizza - Ta Prostokątna,,570383838,Plac Powstańców Wielkopolskich,2/1U,Wrocław,50-232,4.2,1253
Smak Sahary,smak-sahary.pl,575613444,Szybowcowa,24,Wrocław,54-130,4.4,2850
Ha Noi,,788853371,Bujwida,20,Wrocław,50-368,4.9,2971
Pro Pizza,,796 088 512,Karola Miarki,14/LU1,Wrocław,50-306,4.2,54
Sushi vs Pizza Wro,,536412112,Szwedzka,17C,Wrocław,54-401,4.5,71
Nocne Gastro,nocne-gastro.pl,537774147,Bogusławskiego,17A,Wrocław,50-023,4.1,1194
Don Dessert,,789 497 533,Polaka,12/1B,Wrocław,50-379,4.8,44
Bar Smacznego,bar-smacznego.pl,717371112,Kościuszki,198s/3,Wrocław,50-437,3.8,91
Orientuj się,orientuj-sie.pl,500656556,Św. Mikołaja,14,Wrocław,50-128,4.3,576
Taqueria Papi Chulo,,733471116,Grunwaldzka,67,Wrocław,50-357,3.5,19
Sushi:Sushi Cafe,sushisushicafewroclaw.pl,728458248,Romana Dmowskiego,13/U6,Wrocław,50-001,4.6,57
La Vida Lokal,,516310181,Nowowiejska,71/1B,Wrocław,50-315,4.8,363
Woo Thai Street Food Strzegomska,,518 809 300,Strzegomska,208,Wrocław,54-432,4.4,264
Slice Of Heaven,,735 145 625,Sępa-Szarzyńskiego,71,Wrocław,50-334,4.9,2428
Złoty Smok,zloty-smok-wroclaw.pl,885498486,Strzegomska,206,Wrocław,54-432,4.5,488
Alanya Kebab,alanyakebab.pl,516402200,Strzegomska,200,Wrocław,54-432,4,240
PizzaFossa,,510876069,pl. Jana Pawła II,-,Wrocław,50-043,4.1,734
Pizzeria Simon,pizzeriasimonwroclaw.pl,713945642,Jugosłowiańska,65a,Wrocław,51-112,4.5,209
Pizzeria 105 Stopiątka,,572346105,Nowowiejska,25a,Wrocław,50-314,4.4,1598
KFC,,713861817,Żmigrodzka,105/117,Wrocław,51-130,2.5,104
Mam's Kebab,mams-kebab.pl,793 070 933,Bezpieczna,45a,Wrocław,51-114,3.5,78
Restauracja Akropolis,restauracjaakropolis.pl,713435617,Rynek,20/21,Wrocław,50-101,4.2,606
SushiTU Architektów,sushituarchitektow.pl,570 912 033,Architektów,4b,Wrocław,54-115,4.2,197
Pan Gruzin,,792517533,Trzebnicka,64,Wrocław,50-231,3.9,22
SushiTU Brucknera,,537 577 477,Brucknera,24-26,Wrocław,51-411,4.5,153
Ohh!! Sushi & Grill,,713500368,Legnicka,58,Wrocław,54-204,4.5,172
Thali Restauracja Indyjska Jedności Narodowej,thali-jednosci-narodowej.pl,727870333,Jedności Narodowej,161,Wrocław,50-309,4.6,1403
Świat Pizzy Kamieńskiego,swiat-pizzy-kamienskiego.pl,511760870,Kamieńskiego,100,Wrocław,51-124,4.8,842
Pizzeria 105 Stopiątka,,516105500,Bulwar Ikara,15,Wrocław,54-130,4.3,303
Bar Pyza,,713253230,Zawalna,5a,Wrocław,51-118,4.3,1118
Robin Bar Nocą,,539320297,Ruska,51B,Wrocław,50-079,0,0
Bar Smacznego Wrocław,,717371112,Trzebnicka,58A,Wrocław,50-231,4.5,226
Pan Naleśnik,,48692538022,Komandorska 66,-,Wrocław,53-342,4.4,27
WonderBowl,,578424704,Niedźwiedzia,1,Wrocław,54-232,4.9,103
Papa Johns Wrocław Nowowiejska,,791 437 179,Nowowiejska,126,Wrocław,50-340,4.7,68
Coś Dobrego Niedźwiedzia,,690044840,Niedźwiedzia,1,Wrocław,54-203,4.9,214
Pasibus,,502 527 934,Zakładowa,2-4 lok.B17,Wrocław,50-231,2.5,17
Corner Bistro,,510473787,Pochyła,13,Wrocław,53-512,4.6,24
Renegat Bakery,,578158644,Buczacka,6/1a,Wrocław,54-611,0,0
Mania Smaku Racławicka,,713 077 575,Racławicka,13,Wrocław,53-110,4.2,49
Antalya Kebab,,600071473,Bałtycka,11,Wrocław,51-109,4.5,10
Pizzeria Muzyczna Pod Księżycem,,500 516 416,Bulwar Dedala,7a,Wrocław,54-130,3.3,74
SUSHI STUDIO,,884809855,Jedności Narodowej,159,Wrocław,50-303,0,0
Pizza Lidis,,608831180,Kwiska,11A,Wrocław,54-210,4.8,24
Black & Yellow,,791329106,Niedźwiedzia,1,Wrocław,54-232,4.7,136
Pizzeria Czeski Pub,,717939476,Popowicka,28,Wrocław,54-237,4.7,24
Czarna Perła - Kraftowy Kebab,,577 139 177,Czeska,36,Wrocław,51-111,4.2,41
KingKong thai food,,535583082,Horbaczewskiego,57a,Wrocław,54-130,2.1,3
PizzaFossa,,573 448 391,Dokerska,3,Wrocław,54-142,4.2,44
Pasibus,,516 549 059,Bolesława Krzywoustego,126,Wrocław,51-421,2.6,23
Spacowane,,48794134044,Kromera,27a,Wrocław,51-163,4.7,168
Istambul Kebab,,536953329,Grabiszyńska,240/1,Wrocław,53-235,3,3
Mania Smaku Legnicka,,730 757 577,Legnicka,57/s,Wrocław,54-203,4.3,29
Smaki Orientu,,531156415,1 Maja,64,Wałbrzych,58-300,4.5,184
A'Propos,,606 782 694,Wieniawskiego,82,Wałbrzych,58-309,4.1,76
Chata Dzika,,669717717,Sportowa,2,Boguszów-Gorce,58-372,0,0
Zati Kebab,,796 263 878,Wałbrzyska,8A/6,Boguszów-Gorce,58-370,4,43
Green Food,,573954984,Nowy Świat,1A,Wałbrzych,58-300,4.3,91
Kebab Inn,,664351973,Długa,5A,Wałbrzych,58-309,4.7,160
Ha noi,,793688688,Hetmańska,5G,Wałbrzych,58-316,4.3,48
Bar Wietnam,,666 662 815,Główna,8,Wałbrzych,58-309,4.4,108
Magia Smaku,,574860333,Armii Krajowej,26A,Wałbrzych,57-301,4.1,13
Jungle Kuchnia Azjatycka,,732523001,Rynek,23,Świdnica,58-100,4.3,148
Botan Kebab,botan-kebab-swiebodzice.pl,799 065 425,Henryka Sienkiewicza,15,Świebodzice,58-160,4.8,175
Da Grasso,,748514065,Zamkowa,9,Świdnica,58-100,3.7,1134
Da Grasso,,748431078,Dunikowskiego,20,Wałbrzych,58-309,4.4,1080
Happy Day 2,,661311661,Andrzeja Wajdy,1,Wałbrzych,58-300,4.4,2085
Da Grasso,,746631927,Rycerska,1,Wałbrzych,58-300,3.9,879
Koku Sushi,,577525009,Rynek,21,Wałbrzych,58-300,4.7,289
TwojaPizzeria,twojapizzeria-walbrzych.pl,536700148,Wańkowicza,18a,Wałbrzych,58-304,4.8,543
Złota Stacja,zlotastacja-walbrzych.pl,748470775,Rycerska,1,Wałbrzych,58-300,4.2,230
Pizzeria Barman,,536473475,Piłsudskiego,21,Wałbrzych,58-301,3.9,1780
Pizzeria Pomodoro,,726 007 666,Gen. Władysława Andersa,82,Wałbrzych,58-304,4.8,30
Frentzza - Pizza & Friends- Wałbrzych,,732 067 016,Rynek,12,Wałbrzych,58-300,5,30
Zati Kebab,,731569605,Rynek,10,Walbrzych,58-300,3.9,10
Włoska Nonna,,786 994 232,Sienkiewicza,16,Jedlina-Zdrój,58-330,4.6,3
Algerino Kebab II,,724222441,Gdańska,1,Wałbrzych,58-300,4.7,30
Pasta,,504798870,Rycerska,1/2,Wałbrzych,58-300,4.3,29
Veganka,,501 866 121,Rycerska,1,Wałbrzych,58-302,4.3,11
PIASKOWNICA - Burger & Pizza,,746656555,Władysława Broniewskiego,65D,Wałbrzych,58-309,4.5,797
Koku Sushi,,577 525 006,Solicka,6,Szczawno-Zdrój,58-316,4.6,84
Krokiecik,,577353744,Rynek,11/1,Brzeg Dolny,56-120,5,13
Komu Sushi,,500 526 543,Stabłowicka,120,Wrocław,54-062,4.9,63
Biesiadowo,,509615509,Ludwika Solskiego,6,Wrocław,52-438,4.7,720
Portofino,,500508508,Zwycięska,45,Wrocław,53-033,4.4,36
Solleim,,537 243 809,Makowa,12,Bielany Wrocławskie,55-040,4.8,229
Pizza Express Pizza & Gyros,pizzaexpresspizzagyros.pl,717864140,Wesoła,2/1A,Wrocław,50-535,4.7,3080
Gruby Benek,,516505150,Przyjaźni,20,Wrocław,53-030,4.1,419
Pizzeria Mattina,,538965532,Poranna,25b,Wrocław,53-026,4.9,995
Koło Pieca - Krzycka,,518765339,Krzycka,83,Wrocław,53-030,4.7,290
Pizza Store & Cookies,,570429994,Pawia,44,Wrocław,52-235,4.3,167
Seafood Bar&Market Solskiego,,535 427 000,Ludwika Solskiego,6,Wrocław,52-416,4.9,125
Pizzeria Wypieczona,,795332170,Orzechowa,2a/30,Wrocław,50-540,5,446
Halima Kebab,halimakebab-bielanywroclawskie.pl,533 035 611,Wrocławska,37,Bielany Wrocławskie,55-040,4.5,105
Pizzeria Muzyczna,,518 468 466,Tęczowa,57,Wrocław,52-007,4.5,220
Kebzone,,504 400 663,Malinowa,10A,Wysoka,52-200,4.2,52
Sevi Kebab,,663 616 371,Czekoladowa,5-22,Wrocław,55-040,2.8,3
Pizza Station,,717903366,Grabiszyńska,66E,Wrocław,53-504,4.2,8683
Kofuku Sushi Shop & Bistro,,535206060,Powstańców Śląskich,73-95,Wrocław,53-332,4.4,817
I Love Sushi,,517457570,Strońska,9/16,Wrocław,50-540,4.9,803
Pizzeria Capratti,,713336868,Czekoladowa,43,Wrocław,52-326,4.6,3100
Elif Kebab & Pizza,elifkebabpizza.pl,576215339,Francuska,6,Bielany Wrocławskie,55-040,4.4,99
Pizzeria Pi,,717801044,Zwycięska,14F/3,Wrocław,52-208,5,113
Pycha Micha,,668664580,al. Karkonoska,10,Wrocław,53-015,4.5,331
Pizza Time,,717373737,Skarbowców,81A,Wrocław,53-019,4.8,1225
Beef Burger,,717159131,Zwycięska,14 ce/ A,Wrocław,53-033,4.5,189
Domino's Pizza,,716613003,Zwycięska,33,Wrocław,53-033,4,418
Koi Sushi Bar Zwycięska,koisushibarzwycieska.pl,717159119,Zwycięska,14d/1b,Wrocław,53-033,4.9,262
Express Pizza - Ta prostokątna!,,733747474,Krzycka,90i/U2,Wrocław,53-020,4.5,426
Sushi Lovers Tarnogaj,sushi-lovers-tarnogaj-wroclaw.pl,717162225,Nyska,62c,Wrocław,50-505,4.7,139
MOMOKO,momoko-sushi.pl,533202900,Rymarska,22B,Wrocław,53-206,4.6,762
Nienażarty,,736 907 944,Wincentego Witosa,2,Kobierzyce,55-040,4.9,25
Pho Viet,phoviet.pl,666643666,Tyniecka,3,Bielany Wrocławskie,55-040,4.7,414
Sunrise Sushi Huby,sunrise-sushi-huby-wroclaw.pl,537 309 131,Hubska,123A,Wrocław,50-501,3.8,226
Sushi Lovers Fabryczna,,717162228,Mińska,58d,Wrocław,54-610,4.7,115
I Love Sushi,,664111237,Grabiszyńska,214,Wrocław,53-235,4.4,391
Smasz Burger,,501151707,Czekoladowa,5-22,Wrocław,55-040,4.9,16
Lazy Boyz Asian Street Food 2.0,,504400663,Malinowa,10,Wysoka,52-200,4.7,75
Hoshi Sushi Jagodno,hoshisushijagodnowroclaw.pl,739219218,Sarnia,2,Wrocław,52-121,4.7,351
Dashi Sushi,dashi-sushi-katy-wroclawskie.pl,537511611,Rynek,33B,Kąty Wrocławskie,55-080,4.9,11
Restauracja Kameralna,restauracjatuberoza-wroclaw.pl,503 149 005,Zwycięska,14 cb/B,Wrocław,53-033,4.4,189
Rock Burger,rockburger.pl,531 029 340,Klimasa,37D/1,Wrocław,50-515,4.8,674
Koko Bistro,kokobistro.pl,501117777,Skarbowców,121B,Wrocław,53-025,4.4,487
Pyszne u Jasi,,794 536 952,Powstańców Śląskich,154B,Wrocław,53-315,4.2,103
American Sushi Krzyki Gaj,,733 977 880,Świeradowska,49a,Wrocław,50-540,3.9,59
PizzeriaWrocławNocą,pizzeriawroclawnoca.pl,509921320,Żwirki i Wigury,5/3a,Wrocław,54-621,4.9,1128
66 American Burger,66-american-burger.pl,507465455,Słoneczna,1,Smolec,55-080,4.3,130
Kebab Hut,,717993004,Tyniecka,4,Bielany Wrocławskie,55-040,3.8,55
Dobry Adres,dobryadres-wroclaw.pl,576949980,Cukrowa,1F,Wrocław,52-316,4.4,530
Zwycięska 9,zwycieska9.pl,717691594,Zwycięska,9-23/16,Wrocław,53-034,3.3,398
PILAPOLI,pizzapastabypilawskidwor.pl,717116906,Piława,44,Piława,55-081,4.5,101
Pizza Dal Forno,,884311764,Boczna,4,Bielany Wrocławskie,55-040,4.1,24
Papa Johns,,791437179,Gliniana,14,Wrocław,50-525,4.2,1040
Farsz i Mąka,,733777634,Buraczana,2C,Wrocław,52-311,4.8,4
Pizzeria 105 Stopiątka,,724105400,Armii Krajowej,8B,Wrocław,50-541,4.6,3404
NARU,,514 734 702,Krzycka,1B,Wrocław,53-019,5,8
YAKYMO SUSHI,,726153208,Cukrowa,13/19,Wrocław,52-316,4.8,12
Ha - Long Ostrowskiego,,713390087,Ostrowskiego,1,Wrocław,53-238,4.8,1370
Kebab King,,223163737,Zwycięska,9-23/10,Wrocław,53-033,3.9,126
AMMO SUSHI&WOK,,717205555,Skarbowców,64/1A,Wrocław,53-025,4.5,34
Amici Pasta,,787275534,Buforowa,100,Wrocław,52-131,4.7,11
Tre Padrone,,71 715 10 55,Świdnicka,3A,Tyniec Mały,55-040,4.6,14
Tomi Kebab,,713119549,Kątecka,71A,Gniechowice,55-080,4,17
Sushi Senpai Express,,515 387 005,Orzechowa,2A/14,Wrocław,50-540,4,5
Hamsa Grill & Kebab,,668 153 773,Zasłuczańska,4,Żerniki Wrocławskie,55-011,4.2,21
Bafra Kebab,,791 175 493,Wrocławska,22a,Bielany Wrocławskie,55-040,4.3,57
Szarpane 2.0,,577 023 745,Wietrzna,24,Wrocław,53-024,4.7,26
Pizzeria Pi,,71 335 88 02,Skarbowców,101B,Wrocław,53-025,4.8,69
Pizzeria Muzyczna Pod Gwiazdami,,789184419,Klimasa,37b/3,Wrocław,50-515,4.3,22
Maiko Sushi Jagodno,,798770770,Kajdasza,44,Wrocław,52-234,4.1,45
Holy Pizza,,519403304,Zwycięska,14E/3A,Wrocław,53-033,4.9,58
Tito Kebab,,48601160860,Konstytucji 3 Maja,11,Borów,57-160,4.2,5
Kebab Express,,536 965 192,Powstańców Śląskich,219,Wrocław,53-140,3.1,3
K&B Bistro,,730383459,Życzliwa,8,Wrocław,53-030,0,0
So Orient,,71 363 40 67,Morelowskiego,125a,Wrocław,52-429,4.6,12
Izmir Kebab,,781485426,Orzechowa,2A,Wrocław,50-540,4,58
Kebab Grill,,536 965 192,Powstańców Śląskich,154C,Wrocław,53-029,1.9,3
Pizzeria Pempele,,504 035 229,Piławska,17A,Wrocław,50-538,4.7,9
Medina Kebab,,534048081,Świdnicka,10,Tyniec Mały,55-040,0,0
Sushi Time,,731102977,Widna,1,Wrocław,50-543,4.9,114
Sofii Sushi,,575739438,Krynicka,1/4a,Wrocław,50-541,4.8,11
Czaku Bistro,czaku-bistro.pl,601742181,Bolesława Krzywoustego,315,Wrocław,51-310,4.7,175
"Cillox ""a premium kebab""",,729431979,Bolesława Krzywoustego,320,Wrocław,51-312,4.3,28
Pizzeria Il Basilico,,790400430,Poleska,9,Wrocław,51-315,4.6,135
Baparo Pizzeria,baparo-pizzeria.pl,717255402,Okulickiego,19a,Wrocław,51-215,4.2,428
Sushi Kushi,,690208626,Bolesława Krzywoustego,307,Wrocław,51-310,4.2,465
Obiady na Zakrzowie,obiadynazakrzowie.pl,881913113,Okulickiego,19A/1A,Wrocław,51-215,4.5,606
Pizzeria Muzyczna,,500167770,Oleska,7,Wrocław,51-215,4.9,644
Panda Sushi,,713074567,Norwida,32/1,Wrocław,50-375,4.3,772
SPEED Obiady Domowe,speed-gotoweobiady.pl,782521515,Kiełczowska,64C,Wrocław,51-354,4.6,307
Pizzeria Zielona Oliwka,pizzeria-zielona-oliwka.pl,885045400,Rzeczna,58,Kiełczów,55-093,4.8,114
Izakaya Sushi,,886726622,Agrestowa,20G,Kiełczów,55-093,4.5,411
Restauracja Zielona Oliwka,restauracjazielonaoliwka.pl,785155800,Rzeczna,58,Kiełczów,55-098,4.5,129
Punkt G,,578972582,Wilczycka,13,Kiełczów,55-093,4.6,132
Antalya Kebab Doner,antalyakebabdoner.pl,789293740,Kiełczowska,70,Wrocław,51-354,4.6,345
Doner Kebab,,794 712 477,Szkolna,2,Kiełczów,55-093,3.7,6
Oto Naleśniki,,790400430,Poleska,9,Wrocław,51-317,4.4,29
Pizzeria Da Armando,,883620888,Kiełczowska,67A,Wrocław,51-315,4.4,34
Namaste Gorkha,,510 610 438,Vespucciego,10A,Wrocław,51-505,4.9,67
Pizzeria Il Basilico,pizzeriailbasilico.pl,530777430,Jurija Gagarina,5,Wrocław,54-620,4.7,620
PIZZU,pizzuexprojektplacek.pl,791119999,Rogowska,54b,Wrocław,54-438,4.6,940
Kofuku Sushi Smolec,,883736060,Modrzewiowa,1,Smolec,55-080,4.9,39
Pierogarnia Kubiel,,713645510,Solskiego,28,Wrocław,52-416,4.7,932
Kebab Dyktator,kebabdyktator.pl,511131471,Średzka,15,Wrocław,54-001,4.6,1986
Sphinx,,509684437,Graniczna,2a,Wrocław,54-610,4,611
Koi Sushi Stanisławowska,,514028155,Stanisławowska,51,Wrocław,64-611,4.5,221
Sapori Italiani,,883 271 104,Graniczna,2A,Wrocław,54-610,0,0
San Lorenzo,sanlorenzo.pl,537107454,Granitowa,4,Smolec,55-080,4.7,333
Pizza Time,,797779699,Szwedzka,5B,Wrocław,54-401,4.8,515
Pumba- Naleśniki & Pancakes,,796667171,Strzegomska,194,Wrocław,54-432,4.8,207
Domino's Pizza,,716613004,Jurija Gagarina,27,Wrocław,54-620,4.2,395
Slice of Heaven Noc,,735145635,Bulwar Ikara,27,Wrocław,54-130,5,3082
Pizza Koncept,,797 107 664,Marka Hłaski,67b,Wrocław,54-608,4.6,70
Mińska38,minska38wroclaw.pl,517 138 737,Mińska,38,Wrocław,54-610,3.7,318
Pan Gruzin,,883463954,Strzegomska,200/5,Wrocław,54-432,4.2,104
Antalya Kebab,,737 811 029,Mińska,58,Wrocław,54-610,3.8,39
So! Coffee,,224698853,Graniczna,2a,Wrocław,54-610,5,8
Tenis Planet,tenisplanet.pl,510400616,Śliwkowa,134,Smolec,55-080,4.1,473
Pasibus,,739906160,Graniczna,2,Wrocław,54-610,4.1,275
Tessitore,,730204024,Strachowicka,8b,Wrocław,54-512,4.6,2016
Pizza Truck 25 cm,,733322117,Domasławska,36,Wrocław,54-310,4.9,41
Babylon,,713737847,Szkocka,42,Wrocław,54-402,4.7,1020
Express Pizza - Ta prostokątna!,,570 727 272,K.M. Barskich,9,Wrocław,54-115,4.8,85
giv me Chinkali,,530777430,Jurija Gagarina,5/1,Wrocław,54-620,4.7,30
The Burgers,,509684437,Graniczna,2a,Wrocław,54-610,3,9
Varf Naleśniki & Zapiekanki,,725572792,Mińska,58a,Wrocław,54-610,4.4,6
SUSHI AND MORE,,881 187 871,Strzegomska,272,Wrocław,53-611,4.1,30
Ma Dzik Pizza,,48577343100,Strzegomska,194,Wrocław,54-432,4.6,58
Esencja Sushi & Orient,,733099733,Średzka,21/1A,Wrocław,54-001,4.3,26
Casa Con Pizza,,570678613,Krzemieniecka,53,Wrocław,54-613,4.2,27
BISTRO BLACK 13,uemilki-wroclaw.pl,502012860,Marka Hłaski,25A,Wrocław,54-608,4.6,49
Nomash Get Pizza & Gyros,,780090835,Rynek,12,Kąty Wrocławskie,55-080,5,3
Punkt G,,793 310 641,Szkolna,5,Dobrzykowice,55-002,4.7,117
Złoty Smok 1,,732698666,Marcelego Bacciarellego,20,Wrocław,51-649,4.4,175
Manufaktura Ramen,,721505600,Wrocławska,35A,Kiełczów,55-093,4.3,33
Giro Pizza,,609010806,Krakowska,182,Wrocław,52-015,4.3,393
Koło Pieca,,518765339,Buforowa,100,Wrocław,52-116,4.7,444
POSZARPANI,poszarpaniiwiny.pl,511 796 511,Świętego Jacka,177a,Iwiny,52-116,4.4,54
Imran Döner Premium,,698023018,Piłsudskiego,106,Wrocław,50-029,3.3,112
Take Pizza,,514540474,Zasłuczańska,4,Żerniki Wrocławskie,52-215,4.6,142
Chingu Korean street food - Ferio Gaj,,792791711,Świeradowska,51/57,Wrocław,50-559,4.4,56
Jadalnia,,717568525,Piławska,18,Wrocław,50-570,4.5,9346
Pierogarnia,,713368115,al. Armii Krajowej,2/2,Wrocław,50-541,4,3124
Pizzeria Muzyczna,pizzeriamuzyczna-wroclaw.pl,789184419,Klimasa,37b/3,Wrocław,50-515,3.7,962
PickUp Burger,,782372677,Vivaldiego,32,Wrocław,52-129,4.8,418
Restauracja Palce Lizać,restauracja-palce-lizac.pl,607886644,Ciepłownicza,24e,Siechnice,55-011,3.7,102
Pan Smak,pansmak.pl,577235775,Grota-Roweckiego,75/79,Wrocław,52-232,4.6,547
Borowska Kebab,,530855861,Borowska,103,Wrocław,50-551,3.4,49
Świat Pizzy,swiatpizzy-wroclaw.pl,730771275,Armii Krajowej,14c/1,Wrocław,50-541,4.9,1424
Pizzeria Bube Krakowska,,660875389,Krakowska,41B/U06A,Wrocław,50-424,4.3,230
Ajvar,ajvariwiny.pl,511796511,Św. Jacka,177,Iwiny,52-116,4,104
Caravana,caravanawroclaw.pl,575 693 456,Buforowa,124b,Wrocław,52-116,4.9,219
Bar Micha,barmicha.pl,794919192,Zasłuczańska,2,Żerniki Wrocławskie,55-010,4.8,177
Pizzeria Pi,,713336456,Antonia Vivaldiego,7A,Wrocław,52-129,4.8,102
Burger na Brochowie,burgernabrochowiewroclaw.pl,728968451,Semaforowa,15,Wrocław,52-115,4.7,180
Petro Gyros,petro-gyros-wroclaw.pl,609556953,Chorzowska,14/1b,Wrocław,52-023,3.9,50
Koi Sushi Bar Siemianowicka,koisushibarsiemianowicka.pl,717150191,Siemianowicka,9b,Wrocław,52-007,4.8,175
Twoje Bistro,twojebistro.pl,506359590,Międzyleska,4,Wrocław,50-514,4.8,83
Family Kebab&Pizza,elifkebabpizzakrakowskawroclaw.pl,796 397 273,Krakowska,51-69/13,Wrocław,50-438,3.4,10
Restauracja Stodoła,,720102000,Sarnia,2,Wrocław,52-129,4.2,493
Pasibus,,690409472,Świeradowska,51/57,Wrocław,50-559,3.9,495
Toco Poke,,48539862737,Gazowa,88a,Wrocław,50-513,4.2,47
Fresh Kebab,,575 500 015,Buforowa,100,Wrocław,55-010,4.1,94
Bar Pora Obiadowa,,881 484 993,Jabłeczna,27,Wrocław,50-539,4.4,3
Antalya Kebab,,795 050 984,Parkowa,5,Łany,55-033,3,3
Ale kurcze kebab,,535 760 588,Sarnia,4,Wrocław,55-010,0,0
Pomojemu,,794157800,Orzechowa,2a/20,Wrocław,50-540,4.6,41
Moon Kebab Borowska,,726390858,Borowska,114A,Wrocław,50-052,4.1,18
Suszarnia Wrocław Hubska,,690456344,Hubska,74A,Wrocław,50-502,4.7,83
BROpizza,,48883450699,Wielka,2 C,Wrocław,53-339,4.7,61
Ha Noi,,502 868 747,Koreańska,2A,Wrocław,55-010,4.9,206
Mido Kebab,,48728396443,Orzechowa,2A/25,Wrocław,50-540,3.5,4
House of Pizza,,506 859 559,Widna,5,Wrocław,50-543,4.9,12
Centrum Gastronomiczne Margaret po rewolucjach,,717299777,Krakowska,141-155,Wrocław,50-428,4.3,33
VIKTORIIA Gastronomija,,884939597,Orzechowa,2a paw.21,Wrocław,50-540,4,10
